cidade,uf,populacao
BomJardim,Maranhão,42010
Oliveira,MinasGerais,41987
Salinas,MinasGerais,41864
NovoHorizonte,SãoPaulo,41765
SãoMateusdoMaranhão,Maranhão,41750
Machadinhod'Oeste,Rondônia,41724
Charqueadas,RioGrandedoSul,41705
Andradas,MinasGerais,41704
Socorro,SãoPaulo,41690
GoianésiadoPará,Pará,41678
SantaMariadeJetibá,EspíritoSanto,41588
GiraudoPonciano,Alagoas,41549
AméricoBrasiliense,SãoPaulo,41545
Muaná,Pará,41454
Colinas,Maranhão,41443
DoisVizinhos,Paraná,41424
Remanso,Bahia,41324
SãoManuel,SãoPaulo,41287
Guaíra,SãoPaulo,41283
SentoSé,Bahia,41279
SãoMigueldoOeste,SantaCatarina,41246
Promissão,SãoPaulo,41211
RioReal,Bahia,41209
Brumadinho,MinasGerais,41208
Juína,MatoGrosso,41190
Salinópolis,Pará,41164
Uruaçu,Goiás,41150
Colniza,MatoGrosso,41117
Curuçá,Pará,41093
VárzeaAlegre,Ceará,41078
Buritis,Rondônia,41043
Autazes,Amazonas,41005
GuaraciabadoNorte,Ceará,40921
Araquari,SantaCatarina,40890
Lajedo,Pernambuco,40883
Guariba,SãoPaulo,40857
SãoPaulodeOlivença,Amazonas,40837
Jeremoabo,Bahia,40832
SimãoDias,Sergipe,40724
Inhambupe,Bahia,40720
Altos,Piauí,40681
SãoFranciscodoConde,Bahia,40664
Tucumã,Pará,40661
Arcos,MinasGerais,40658
Nanuque,MinasGerais,40583
Pitangueiras,SãoPaulo,40430
Pojuca,Bahia,40401
BoaEsperança,MinasGerais,40308
SantaCruz,RioGrandedoNorte,40295
Amambai,MatoGrossodoSul,40247
OuroBranco,MinasGerais,40220
Iturama,MinasGerais,40101
VárzeadaPalma,MinasGerais,40101
BomJardim,Pernambuco,40038
Curitibanos,SantaCatarina,40037
Esperantina,Piauí,39953
Afuá,Pará,39910
Tijucas,SantaCatarina,39889
Jaíba,MinasGerais,39850
SãoJoãoBatista,SantaCatarina,39719
SantaMariadaVitória,Bahia,39707
PresidenteVenceslau,SãoPaulo,39648
JosédeFreitas,Piauí,39457
Torres,RioGrandedoSul,39381
Massapê,Ceará,39341
Jacarezinho,Paraná,39268
Marataízes,EspíritoSanto,39259
Igarapé-Açu,Pará,39234
RosáriodoSul,RioGrandedoSul,39210
Pedreiras,Maranhão,39153
CanaãdosCarajás,Pará,39103
SãoGabrieldaPalha,EspíritoSanto,39085
Penalva,Maranhão,38987
SantaHelenadeGoiás,Goiás,38962
RioBrilhante,MatoGrossodoSul,38844
Careiro,Amazonas,38820
PedroII,Piauí,38812
Iperó,SãoPaulo,38771
SãoFidélis,RiodeJaneiro,38749
SantaRita,Maranhão,38732
NovaOlindadoNorte,Amazonas,38665
Itaitinga,Ceará,38661
Bodocó,Pernambuco,38605
Matozinhos,MinasGerais,38469
Aliança,Pernambuco,38408
Capelinha,MinasGerais,38321
SãoGonçalodosCampos,Bahia,38315
RioPardo,RioGrandedoSul,38257
DomPedrito,RioGrandedoSul,38222
Bonito,Pernambuco,38101
PresidenteFigueiredo,Amazonas,38095
Portão,RioGrandedoSul,38081
Ipueiras,Ceará,38064
Pentecoste,Ceará,38045
Guaratuba,Paraná,37974
Castelo,EspíritoSanto,37956
Posse,Goiás,37924
Esplanada,Bahia,37902
Porteirinha,MinasGerais,37823
Igrejinha,RioGrandedoSul,37754
NossaSenhoradaGlória,Sergipe,37715
JoséBonifácio,SãoPaulo,37707
Santaluz,Bahia,37704
Extrema,MinasGerais,37649
Custódia,Pernambuco,37633
Amargosa,Bahia,37631
Agudos,SãoPaulo,37582
NovaCruz,RioGrandedoNorte,37554
AfogadosdaIngazeira,Pernambuco,37546
SãoCaetano,Pernambuco,37488
ÁguaPreta,Pernambuco,37386
Itaqui,RioGrandedoSul,37363
BomJesusdoItabapoana,RiodeJaneiro,37306
Vassouras,RiodeJaneiro,37262
Petrolândia,Pernambuco,37246
Oeiras,Piauí,37138
PimentaBueno,Rondônia,37098
Aguaí,SãoPaulo,36981
CampoNovodoParecis,MatoGrosso,36917
Brejo,Maranhão,36900
Gramado,RioGrandedoSul,36864
CamposNovos,SantaCatarina,36861
SãoJoãodaBarra,RiodeJaneiro,36731
Fraiburgo,SantaCatarina,36723
Araçuaí,MinasGerais,36715
Araguatins,Tocantins,36573
Itambé,Pernambuco,36495
GuarantãdoNorte,MatoGrosso,36439
SãoPedro,SãoPaulo,36298
ColinasdoTocantins,Tocantins,36271
RiodasPedras,SãoPaulo,36233
Aparecida,SãoPaulo,36211
Ilhabela,SãoPaulo,36194
Sertânia,Pernambuco,36189
Itapicuru,Bahia,36173
Itiúba,Bahia,36140
Baturité,Ceará,36127
BarraBonita,SãoPaulo,36125
Eirunepé,Amazonas,36121
Marialva,Paraná,36103
SãoGotardo,MinasGerais,36084
SantanadoParaíso,MinasGerais,36048
Apodi,RioGrandedoNorte,35904
Cravinhos,SãoPaulo,35858
Bariri,SãoPaulo,35844
Ibaté,SãoPaulo,35830
Turiaçu,Maranhão,35811
Garibaldi,RioGrandedoSul,35794
RiachodeSantana,Bahia,35757
Matinhos,Paraná,35705
PeixotodeAzevedo,MatoGrosso,35695
PortoUnião,SantaCatarina,35685
BarradoBugres,MatoGrosso,35642
MissãoVelha,Ceará,35566
Curralinho,Pará,35530
Paracuru,Ceará,35526
MorrodoChapéu,Bahia,35466
PoçoRedondo,Sergipe,35461
OuroPretodoOeste,Rondônia,35445
Camamu,Bahia,35444
AlémParaíba,MinasGerais,35438
AraçoiabadaSerra,SãoPaulo,35389
JoãoCâmara,RioGrandedoNorte,35360
Pilar,Alagoas,35310
CachoeiradoPiriá,Pará,35307
Ubajara,Ceará,35295
PilãoArcado,Bahia,35295
Juara,MatoGrosso,35275
Jaguariaíva,Paraná,35192
Adamantina,SãoPaulo,35153
Piumhi,MinasGerais,35137
Itamarandiba,MinasGerais,35130
Parnarama,Maranhão,35108
SantaCruzdasPalmeiras,SãoPaulo,35102
BomJesusdasSelvas,Maranhão,35095
Curaçá,Bahia,35065
ArmaçãodosBúzios,RiodeJaneiro,35060
Itaporangad'Ajuda,Sergipe,35054
SãoRaimundoNonato,Piauí,35035
PadreBernardo,Goiás,35011
Feijó,Acre,34986
BocadoAcre,Amazonas,34958
Itapemirim,EspíritoSanto,34957
Cansanção,Bahia,34929
Tanguá,RiodeJaneiro,34898
RioPretodaEva,Amazonas,34856
SãoLuísdoQuitunde,Alagoas,34825
Guanhães,MinasGerais,34818
Canguaretama,RioGrandedoNorte,34814
Capela,Sergipe,34808
Cabrobó,Pernambuco,34778
SãoDesidério,Bahia,34764
QuedasdoIguaçu,Paraná,34707
Estrela,RioGrandedoSul,34669
Taiobeiras,MinasGerais,34653
SãoBento,Paraíba,34650
RioNegro,Paraná,34645
Mandaguari,Paraná,34628
Jaguaribe,Ceará,34592
Pomerode,SantaCatarina,34561
SãoLuísdeMontesBelos,Goiás,34488
SãoSebastião,Alagoas,34424
SãoDomingosdoMaranhão,Maranhão,34391
Goiatuba,Goiás,34307
BraçodoNorte,SantaCatarina,34294
Teutônia,RioGrandedoSul,34275
ConcórdiadoPará,Pará,34236
SãoJosédoEgito,Pernambuco,34210
Gurupá,Pará,34127
DomingosMartins,EspíritoSanto,34120
Palmeira,Paraná,34109
Matões,Maranhão,34099
Descalvado,SãoPaulo,34097
SãoJosédoBelmonte,Pernambuco,34082
EldoradodosCarajás,Pará,34069
Sarzedo,MinasGerais,34050
Almeirim,Pará,34044
Penha,SantaCatarina,34022
Manaquiri,Amazonas,33981
Jaguaruana,Ceará,33960
OuroFino,MinasGerais,33938
Jaguarari,Bahia,33915
MiguelAlves,Piauí,33901
Monção,Maranhão,33888
Colíder,MatoGrosso,33855
OurilândiadoNorte,Pará,33831
CachoeiraPaulista,SãoPaulo,33827
UrbanoSantos,Maranhão,33791
Touros,RioGrandedoNorte,33716
Cachoeira,Bahia,33659
Monteiro,Paraíba,33638
ConceiçãodoJacuípe,Bahia,33631
MorroAgudo,SãoPaulo,33598
JoãoAlfredo,Pernambuco,33570
DoisIrmãos,RioGrandedoSul,33547
Coxim,MatoGrossodoSul,33547
Barrinha,SãoPaulo,33537
RiachãodoJacuípe,Bahia,33498
Guaíra,Paraná,33497
Floresta,Pernambuco,33488
CaçapavadoSul,RioGrandedoSul,33476
Esperança,Paraíba,33386
Poconé,MatoGrosso,33386
Maragogi,Alagoas,33351
AssisChateaubriand,Paraná,33306
Imbituva,Paraná,33306
BiritibaMirim,SãoPaulo,33265
Guararapes,SãoPaulo,33257
Paraipaba,Ceará,33232
BarãodeCocais,MinasGerais,33232
Pindaré-Mirim,Maranhão,33186
OeirasdoPará,Pará,33182
SãoLuizGonzaga,RioGrandedoSul,33124
OsvaldoCruz,SãoPaulo,33118
SãoMiguelArcanjo,SãoPaulo,33071
TrêsMarias,MinasGerais,33062
Carangola,MinasGerais,33022
Espigãod'Oeste,Rondônia,33009
PalmeiradasMissões,RioGrandedoSul,32967
VitóriadoMearim,Maranhão,32956
Barreirinha,Amazonas,32919
Vicência,Pernambuco,32897
BelaCruz,Ceará,32851
SantanadoAcaraú,Ceará,32851
Arame,Maranhão,32825
Pombal,Paraíba,32803
SantaFédoSul,SãoPaulo,32796
Gandu,Bahia,32778
Pinhão,Paraná,32722
SãoJoaquimdeBicas,MinasGerais,32696
NazarédaMata,Pernambuco,32673
Irituia,Pará,32639
CíceroDantas,Bahia,32636
RioBrancodoSul,Paraná,32635
Cururupu,Maranhão,32559
NovaRussas,Ceará,32487
SãoJosédaTapera,Alagoas,32462
BrasíliadeMinas,MinasGerais,32460
Palotina,Paraná,32389
Medicilândia,Pará,32347
SantoAntôniodoTauá,Pará,32346
Placas,Pará,32325
Itatiaia,RiodeJaneiro,32312
SãoDomingosdoCapim,Pará,32285
Paratinga,Bahia,32274
Macau,RioGrandedoNorte,32260
Pompéu,MinasGerais,32248
Correntina,Bahia,32243
AuroradoPará,Pará,32200
NovaMamoré,Rondônia,32184
LaranjeirasdoSul,Paraná,32167
TabuleirodoNorte,Ceará,32079
Confresa,MatoGrosso,32076
Camacan,Bahia,32023
PontadePedras,Pará,32007
Bagre,Pará,31967
AltoAlegredoPindaré,Maranhão,31967
Mocajuba,Pará,31917
PiresdoRio,Goiás,31909
Ivaiporã,Paraná,31886
SantaBárbara,MinasGerais,31873
Ibaiti,Paraná,31854
Juquitiba,SãoPaulo,31844
Exu,Pernambuco,31709
FredericoWestphalen,RioGrandedoSul,31675
MateusLeme,MinasGerais,31631
Espinosa,MinasGerais,31603
Jaguaré,EspíritoSanto,31589
Raposa,Maranhão,31586
Gameleira,Pernambuco,31578
Tracuateua,Pará,31549
VitorinoFreire,Maranhão,31520
Ipubi,Pernambuco,31515
MinasNovas,MinasGerais,31509
ConceiçãodaBarra,EspíritoSanto,31479
LavrasdaMangabeira,Ceará,31476
Candelária,RioGrandedoSul,31475
Iporá,Goiás,31471
CareirodaVárzea,Amazonas,31459
BarradosCoqueiros,Sergipe,31439
CândidoMota,SãoPaulo,31410
Parambu,Ceará,31391
Rorainópolis,Roraima,31387
Guaçuí,EspíritoSanto,31372
SerradoRamalho,Bahia,31362
FloresdaCunha,RioGrandedoSul,31352
NovoCruzeiro,MinasGerais,31339
Sooretama,EspíritoSanto,31278
BaixoGuandu,EspíritoSanto,31263
Jarinu,SãoPaulo,31173
Ipixuna,Amazonas,31172
RioPardodeMinas,MinasGerais,31171
Iguape,SãoPaulo,31117
Trindade,Pernambuco,31103
Sombrio,SantaCatarina,31084
Soledade,RioGrandedoSul,31067
Bandeirantes,Paraná,31061
CapimGrosso,Bahia,31055
Caarapó,MatoGrossodoSul,31005
BelaVistadeGoiás,Goiás,31004
Nerópolis,Goiás,30931
Itabela,Bahia,30901
RuyBarbosa,Bahia,30900
CanindédeSãoFrancisco,Sergipe,30894
GlóriadoGoitá,Pernambuco,30847
BarradoChoça,Bahia,30831
ArraialdoCabo,RiodeJaneiro,30827
CatolédoRocha,Paraíba,30819
PaudosFerros,RioGrandedoNorte,30802
Igarapava,SãoPaulo,30791
Canavieiras,Bahia,30722
Joaçaba,SantaCatarina,30684
CasaBranca,SãoPaulo,30655
CarlosBarbosa,RioGrandedoSul,30630
LuísCorreia,Piauí,30558
BarraVelha,SantaCatarina,30539
NovaSantaRita,RioGrandedoSul,30482
Guararema,SãoPaulo,30465
MãedoRio,Pará,30389
CarmodoParanaíba,MinasGerais,30339
Laranjeiras,Sergipe,30327
AfonsoCláudio,EspíritoSanto,30326
Anchieta,EspíritoSanto,30285
Triunfo,RioGrandedoSul,30159
CampoMagro,Paraná,30151
Anajás,Pará,30091
Cambuí,MinasGerais,30068
Arari,Maranhão,30014
Piraju,SãoPaulo,29930
PalmeirasdeGoiás,Goiás,29915
Alegre,EspíritoSanto,29869
Mirandópolis,SãoPaulo,29844
Prainha,Pará,29827
Piraí,RiodeJaneiro,29802
Propriá,Sergipe,29756
Rancharia,SãoPaulo,29743
Bujaru,Pará,29717
Codajás,Amazonas,29691
Pitanga,Paraná,29686
SerraNegra,SãoPaulo,29669
LimoeirodoAjuru,Pará,29623
PilardoSul,SãoPaulo,29612
Ibimirim,Pernambuco,29585
Maracanã,Pará,29559
Itaperuçu,Paraná,29493
TaquaritingadoNorte,Pernambuco,29472
Muritiba,Bahia,29420
Iúna,EspíritoSanto,29417
IguabaGrande,RiodeJaneiro,29344
Anapu,Pará,29312
Irará,Bahia,29305
SantaVitóriadoPalmar,RioGrandedoSul,29298
Extremoz,RioGrandedoNorte,29282
Xaxim,SantaCatarina,29254
Timbiras,Maranhão,29241
Redenção,Ceará,29238
HumbertodeCampos,Maranhão,29143
Paripiranga,Bahia,29124
MirandadoNorte,Maranhão,29121
Carinhanha,Bahia,29118
Baraúna,RioGrandedoNorte,29112
Valente,Bahia,29111
Cláudio,MinasGerais,29093
Caetés,Pernambuco,29065
Itacaré,Bahia,29051
LaranjalPaulista,SãoPaulo,29047
Piracuruca,Piauí,28952
TrêsCoroas,RioGrandedoSul,28948
Buriti,Maranhão,28916
CamposGerais,MinasGerais,28908
LimoeirodeAnadia,Alagoas,28904
Ituberá,Bahia,28870
Tabira,Pernambuco,28860
Passira,Pernambuco,28856
CampoAlegredeLourdes,Bahia,28839
SãoBernardo,Maranhão,28825
PortodaFolha,Sergipe,28788
ConceiçãodasAlagoas,MinasGerais,28782
NovoOriente,Ceará,28737
Goioerê,Paraná,28734
Carauari,Amazonas,28719
Nazaré,Bahia,28661
SantaRitadeCássia,Bahia,28613
PedrasdeFogo,Paraíba,28607
SantoAntôniodoMonte,MinasGerais,28603
Marapanim,Pará,28563
ElóiMendes,MinasGerais,28556
Oiapoque,Amapá,28534
PontaldoParaná,Paraná,28529
Minaçu,Goiás,28518
Conchal,SãoPaulo,28491
Arapoti,Paraná,28480
Cajati,SãoPaulo,28441
Pitangui,MinasGerais,28433
Murici,Alagoas,28428
Miranda,MatoGrossodoSul,28423
AlagoaGrande,Paraíba,28384
Olindina,Bahia,28373
Alexânia,Goiás,28360
PresidenteTancredoNeves,Bahia,28272
NísiaFloresta,RioGrandedoNorte,28266
Prado,Bahia,28214
Buritizeiro,MinasGerais,28184
Prata,MinasGerais,28173
AreiaBranca,RioGrandedoNorte,28156
Mirassold'Oeste,MatoGrosso,28135
Melgaço,Pará,28121
CandeiasdoJamari,Rondônia,28068
AltoAlegredoMaranhão,Maranhão,28066
NovaEsperança,Paraná,28062
SantaCruzCabrália,Bahia,28058
NovaPrata,RioGrandedoSul,28021
Pirapozinho,SãoPaulo,27974
Coromandel,MinasGerais,27958
PatydoAlferes,RiodeJaneiro,27942
Traipu,Alagoas,27934
Cocal,Piauí,27901
SãoJosédoNorte,RioGrandedoSul,27866
SantaGertrudes,SãoPaulo,27850
Juatuba,MinasGerais,27823
Marco,Ceará,27822
ÁguaAzuldoNorte,Pará,27797
Tupanatinga,Pernambuco,27793
BomJardim,RiodeJaneiro,27779
Barcelos,Amazonas,27772
LagoaVermelha,RioGrandedoSul,27751
Mandirituba,Paraná,27750
LagoaSeca,Paraíba,27728
DoisCórregos,SãoPaulo,27704
SãoMigueldoIguaçu,Paraná,27696
Jaciara,MatoGrosso,27696
Quijingue,Bahia,27672
SãoGabrieldoOeste,MatoGrossodoSul,27660
Mantena,MinasGerais,27651
SantaRitadoPassaQuatro,SãoPaulo,27641
Itaí,SãoPaulo,27632
Forquilhinha,SantaCatarina,27621
Piracaia,SãoPaulo,27617
Pinheiros,EspíritoSanto,27601
CamposSales,Ceará,27513
Sapezal,MatoGrosso,27485
Ubatã,Bahia,27481
BocadaMata,Alagoas,27429
Icatu,Maranhão,27423
Milagres,Ceará,27413
Ipameri,Goiás,27365
PortoCalvo,Alagoas,27331
VeraCruz,RioGrandedoSul,27325
Lapão,Bahia,27323
SãoJoaquim,SantaCatarina,27322
Sanharó,Pernambuco,27308
SãoSebastiãodaBoaVista,Pará,27302
BeloOriente,MinasGerais,27277
Pombos,Pernambuco,27204
Jardim,Ceará,27187
Anajatuba,Maranhão,27170
Valparaíso,SãoPaulo,27154
MundoNovo,Bahia,27153
Itapissuma,Pernambuco,27144
Miracema,RiodeJaneiro,27134
Cujubim,Rondônia,27131
Brasiléia,Acre,27123
IlhadeItamaracá,Pernambuco,27076
Ibotirama,Bahia,27076
NovaSoure,Bahia,27047
SantaHelena,Paraná,27036
Caririaçu,Ceará,27008
Iguaí,Bahia,27006
Goianinha,RioGrandedoNorte,27004
Boquim,Sergipe,26980
AldeiasAltas,Maranhão,26979
SantaRosadeViterbo,SãoPaulo,26960
NossaSenhoradasDores,Sergipe,26957
Batalha,Piauí,26951
VilaRica,MatoGrosso,26946
Mutum,MinasGerais,26945
Reserva,Paraná,26933
Taquari,RioGrandedoSul,26907
IlhaSolteira,SãoPaulo,26886
Nepomuceno,MinasGerais,26882
Veranópolis,RioGrandedoSul,26813
Santana,Bahia,26792
Martinópolis,SãoPaulo,26791
Corrente,Piauí,26771
Ibatiba,EspíritoSanto,26762
Condado,Pernambuco,26755
ÁguaBoa,MatoGrosso,26679
CoraçãodeJesus,MinasGerais,26620
Cajuru,SãoPaulo,26613
Aracoiaba,Ceará,26600
Planalto,Bahia,26581
PedroCanário,EspíritoSanto,26575
SantaIsabeldoRioNegro,Amazonas,26566
Sacramento,MinasGerais,26556
Jacutinga,MinasGerais,26538
SãoJoãoNepomuceno,MinasGerais,26530
Guaiúba,Ceará,26508
BomJesusdosPerdões,SãoPaulo,26506
ChapadãodoSul,MatoGrossodoSul,26499
Canarana,Bahia,26468
Maravilha,SantaCatarina,26463
FranciscoSá,MinasGerais,26459
NovoAripuanã,Amazonas,26443
Tacaratu,Pernambuco,26439
Panelas,Pernambuco,26438
Guaraí,Tocantins,26403
AparecidadoTaboado,MatoGrossodoSul,26386
Jardim,MatoGrossodoSul,26375
CastroAlves,Bahia,26369
Jaguarão,RioGrandedoSul,26327
Quipapá,Pernambuco,26309
Astorga,Paraná,26304
Itaíba,Pernambuco,26268
Tanabi,SãoPaulo,26231
Conde,Bahia,26223
VendaNovadoImigrante,EspíritoSanto,26204
Tamboril,Ceará,26199
Guaporé,RioGrandedoSul,26199
Independência,Ceará,26196
SãoSebastiãodoCaí,RioGrandedoSul,26161
GarrafãodoNorte,Pará,26155
ItingadoMaranhão,Maranhão,26134
Turilândia,Maranhão,26112
FormosadoRioPreto,Bahia,26111
LagoaGrande,Pernambuco,26090
MimosodoSul,EspíritoSanto,26079
BomJesusdeGoiás,Goiás,26069
SãoJoãodosPatos,Maranhão,26063
Solânea,Paraíba,26051
EncruzilhadadoSul,RioGrandedoSul,26039
Ocara,Ceará,25958
SãoDomingosdoAraguaia,Pará,25945
Pirajuí,SãoPaulo,25939
SantaQuitériadoMaranhão,Maranhão,25884
Carandaí,MinasGerais,25831
Umbaúba,Sergipe,25800
PiraídoSul,Paraná,25779
MiguelCalmon,Bahia,25771
NovoProgresso,Pará,25769
Soure,Pará,25752
Iraquara,Bahia,25728
Angatuba,SãoPaulo,25724
PereiraBarreto,SãoPaulo,25685
SãoGonçalodoSapucaí,MinasGerais,25670
Viçosa,Alagoas,25655
MonteAprazível,SãoPaulo,25651
MiguelPereira,RiodeJaneiro,25622
Ituporanga,SantaCatarina,25619
Cedro,Ceará,25612
JoãoDourado,Bahia,25606
Brodowski,SãoPaulo,25605
Potim,SãoPaulo,25603
Itapuranga,Goiás,25597
Igaci,Alagoas,25596
BomJesus,Piauí,25584
Cambará,Paraná,25569
Macaparana,Pernambuco,25565
Pinheiral,RiodeJaneiro,25563
PedrodoRosário,Maranhão,25560
Jequitinhonha,MinasGerais,25555
Quissamã,RiodeJaneiro,25535
Luzilândia,Piauí,25521
Ibiá,MinasGerais,25511
GovernadorNunesFreire,Maranhão,25502
SantaLuziadoParuá,Maranhão,25487
Itaporã,MatoGrossodoSul,25478
CapivarideBaixo,SantaCatarina,25477
Tupaciguara,MinasGerais,25466
CapãodoLeão,RioGrandedoSul,25462
Queimadas,Bahia,25428
SenadorPompeu,Ceará,25418
Conde,Paraíba,25341
Anastácio,MatoGrossodoSul,25336
Piranhas,Alagoas,25324
RibasdoRioPardo,MatoGrossodoSul,25310
EsperaFeliz,MinasGerais,25287
Agrestina,Pernambuco,25240
Pirenópolis,Goiás,25218
MataGrande,Alagoas,25200
Buritis,MinasGerais,25179
Ibiapina,Ceará,25165
Piritiba,Bahia,25162
SantaMariadoPará,Pará,25127
Cruz,Ceará,25121
Aimorés,MinasGerais,25116
Cordeirópolis,SãoPaulo,25116
ÁlvaresMachado,SãoPaulo,25078
Ivoti,RioGrandedoSul,25068
SãoJoãodaPonte,MinasGerais,25033
Sarandi,RioGrandedoSul,25024
AméliaRodrigues,Bahia,24997
Iracemápolis,SãoPaulo,24982
Tapejara,RioGrandedoSul,24973
Itaporanga,Paraíba,24960
Jucás,Ceará,24949
Guabiruba,SantaCatarina,24922
CândidoSales,Bahia,24921
Brotas,SãoPaulo,24862
Paraopeba,MinasGerais,24854
BelaVista,MatoGrossodoSul,24842
IgaraçudoTietê,SãoPaulo,24821
Canhotinho,Pernambuco,24743
Junqueiro,Alagoas,24716
Forquilha,Ceará,24680
IgrejaNova,Alagoas,24670
MatrizdeCamaragibe,Alagoas,24627
SãoJerônimo,RioGrandedoSul,24569
Aurora,Ceará,24567
SãoGeraldodoAraguaia,Pará,24566
Piracanjuba,Goiás,24543
SãoLourençodoOeste,SantaCatarina,24501
SãoJosédaLapa,MinasGerais,24490
Irauçuba,Ceará,24450
SantoAntônio,RioGrandedoNorte,24422
Craíbas,Alagoas,24396
Salvaterra,Pará,24392
BalneárioPiçarras,SantaCatarina,24385
Itabaiana,Paraíba,24363
CachoeiradoArari,Pará,24355
PedraAzul,MinasGerais,24333
PãodeAçúcar,Alagoas,24307
PortoFranco,Maranhão,24294
Colorado,Paraná,24271
RioTinto,Paraíba,24258
QuatroBarras,Paraná,24253
MonteSião,MinasGerais,24247
Cupira,Pernambuco,24237
Carambeí,Paraná,24225
Laje,Bahia,24214
Tupanciretã,RioGrandedoSul,24182
Chaves,Pará,24175
JoaquimGomes,Alagoas,24167
Carolina,Maranhão,24151
Urucurituba,Amazonas,24098
Carutapera,Maranhão,24095
Apiaí,SãoPaulo,24081
Garopaba,SantaCatarina,24070
SãoJosédaLaje,Alagoas,24064
Ladário,MatoGrossodoSul,24040
Inajá,Pernambuco,24034
Inhapim,MinasGerais,24020
PoçoVerde,Sergipe,24003
BuritiBravo,Maranhão,23993
Uauá,Bahia,23991
Orobó,Pernambuco,23985
Bambuí,MinasGerais,23964
Iaçu,Bahia,23950
SantaTerezinhadeItaipu,Paraná,23927
SantoAmarodaImperatriz,SantaCatarina,23907
Caraí,MinasGerais,23872
SantaTeresa,EspíritoSanto,23853
Tamandaré,Pernambuco,23852
Itapaci,Goiás,23850
TrêsdeMaio,RioGrandedoSul,23846
TrêsPassos,RioGrandedoSul,23799
SãoJoãodoParaíso,MinasGerais,23797
SãoMiguel,RioGrandedoNorte,23789
PrincesaIsabel,Paraíba,23749
SantoAntôniodePosse,SãoPaulo,23742
Imbé,RioGrandedoSul,23721
RioFormoso,Pernambuco,23719
JoãoLisboa,Maranhão,23677
RaulSoares,MinasGerais,23663
Bataguassu,MatoGrossodoSul,23620
Corinto,MinasGerais,23607
Matinha,Maranhão,23591
ConceiçãodeMacabu,RiodeJaneiro,23561
Belmonte,Bahia,23540
Assaré,Ceará,23537
Peritoró,Maranhão,23530
SãoSepé,RioGrandedoSul,23492
SenadorGuiomard,Acre,23446
SãoJoãodePirabas,Pará,23440
Ibirapitanga,Bahia,23433
Pancas,EspíritoSanto,23426
Caculé,Bahia,23407
TeodoroSampaio,SãoPaulo,23395
DomPedro,Maranhão,23393
Loanda,Paraná,23393
Mandaguaçu,Paraná,23373
Araçariguama,SãoPaulo,23343
Coreaú,Ceará,23340
Taquarituba,SãoPaulo,23292
Ivinhema,MatoGrossodoSul,23277
Sobradinho,Bahia,23274
Abaeté,MinasGerais,23263
Tambaú,SãoPaulo,23255
Paranatinga,MatoGrosso,23250
Capinzal,SantaCatarina,23218
Itaocara,RiodeJaneiro,23211
Itambacuri,MinasGerais,23207
Orleans,SantaCatarina,23161
SãoMigueldoGuaporé,Rondônia,23147
Aripuanã,MatoGrosso,23067
Encantado,RioGrandedoSul,23047
Caridade,Ceará,23011
SãoJoão,Pernambuco,23002
Altinho,Pernambuco,22996
ConselheiroPena,MinasGerais,22975
NovaAlvoradadoSul,MatoGrossodoSul,22967
ConceiçãodaFeira,Bahia,22933
PortoGrande,Amapá,22927
Amaraji,Pernambuco,22910
CarmodoCajuru,MinasGerais,22900
Manhumirim,MinasGerais,22894
Barro,Ceará,22834
Morrinhos,Ceará,22830
Tocantinópolis,Tocantins,22820
Hervald'Oeste,SantaCatarina,22820
Ecoporanga,EspíritoSanto,22748
MedeirosNeto,Bahia,22741
Apuí,Amazonas,22739
Terenos,MatoGrossodoSul,22721
Pedra,Pernambuco,22716
Barreira,Ceará,22715
Acreúna,Goiás,22710
Dianópolis,Tocantins,22704
MonteAlegre,RioGrandedoNorte,22698
RafaelJambeiro,Bahia,22643
Caracaraí,Roraima,22635
Flores,Pernambuco,22612
Schroeder,SantaCatarina,22605
Teofilândia,Bahia,22590
Hidrolândia,Goiás,22533
Quaraí,RioGrandedoSul,22531
ChapadadosGuimarães,MatoGrosso,22521
AltaFlorestad'Oeste,Rondônia,22516
Alcobaça,Bahia,22509
Areia,Paraíba,22493
Miguelópolis,SãoPaulo,22480
Itambé,Bahia,22474
Mazagão,Amapá,22468
PortoBelo,SantaCatarina,22466
SãoVicenteFerrer,Maranhão,22452
Itaparica,Bahia,22440
Quixeré,Ceará,22432
Ceres,Goiás,22407
Bonito,MatoGrossodoSul,22401
Carira,Sergipe,22393
CoraçãodeMaria,Bahia,22391
Piúma,EspíritoSanto,22388
Fundão,EspíritoSanto,22379
FeiraNova,Pernambuco,22360
Mutuípe,Bahia,22340
RiachãodasNeves,Bahia,22330
Pompeia,SãoPaulo,22326
Palmital,SãoPaulo,22322
Diamantino,MatoGrosso,22311
Altônia,Paraná,22293
AltoParaíso,Rondônia,22258
SantaMariadasBarreiras,Pará,22244
Pradópolis,SãoPaulo,22239
Cantanhede,Maranhão,22236
TrizideladoVale,Maranhão,22223
Uruburetama,Ceará,22223
Parnamirim,Pernambuco,22198
FeiraGrande,Alagoas,22192
Caravelas,Bahia,22166
Cordeiro,RiodeJaneiro,22152
NovaHartz,RioGrandedoSul,22147
Alcântara,Maranhão,22126
Goiás,Goiás,22122
Anicuns,Goiás,22113
Manari,Pernambuco,22110
Canarana,MatoGrosso,22101
Guapiaçu,SãoPaulo,22087
Caaporã,Paraíba,22079
Cassilândia,MatoGrossodoSul,22063
